SingleStream-Timestep1-Layer22-Rank3: 299.9688415527344ms
SingleStream-Timestep1-Layer22-Rank1: 299.8879089355469ms
SingleStream-Timestep1-Layer22-Rank2: 299.99951171875ms
SingleStream-Timestep1-Layer23-Rank0: 297.71630859375ms
SingleStream-Timestep1-Layer23-Rank3: 297.7996520996094ms
SingleStream-Timestep1-Layer23-Rank1: 297.80767822265625ms
SingleStream-Timestep1-Layer23-Rank2: 297.7042541503906ms
SingleStream-Timestep1-Layer24-Rank0: 300.185546875ms
SingleStream-Timestep1-Layer24-Rank3: 300.2654113769531ms
SingleStream-Timestep1-Layer24-Rank2: 300.3346252441406ms
SingleStream-Timestep1-Layer24-Rank1: 300.4541320800781ms
SingleStream-Timestep1-Layer25-Rank3: 299.7519226074219ms
